id,statement,correct,category,tag,era,explanation,source
1,12世紀のヨーロッパで、ギリシア古典やアラビア語文献がラテン語へと翻訳され、学芸が発展した,1,西ヨーロッパの中世文化,文化,,12世紀のヨーロッパで、イスラーム世界・ビザンツ帝国から伝わったギリシア古典やアラビア語文献がラテン語に翻訳され、スコラ哲学など学芸が発達した。,共通テスト2020年度本試験
2,ユトレヒト条約で、フランスはイギリスからハドソン湾地方を獲得した,0,重商主義と啓蒙専制主義,フランス,,スペイン継承戦争の講和条約である１８世紀前半のユトレヒト条約で、フランスがイギリスからではなく、イギリスがフランスからハドソン湾地方を獲得した。,共通テスト2020年度本試験
3,玄奘は、インドを訪れ、『大唐西域記』を残した。,1,東アジア文化圏の形成,中国,隋・唐,玄奘は往復ともに陸路でヴァルダナ朝時代のインドを訪れ、ナーランダー僧院で学び、『大唐西域記』を残した。,共通テスト2020年度本試験
4,スペインのラスコーで、洞穴絵画（洞窟絵画）が発見された,0,先史の世界,先史,,スペインではなくフランスのラスコーで、旧石器時代後期に化石人類の新人が描いた洞穴絵画（洞窟絵画）が発見された。スペインのアルタミラでも、同じく新人の描いた洞窟絵画が発見された。,共通テスト2019年度本試験
5,古代インドで、太陽神ラーが信仰された。,0,インドの古典文明,インド,,古代インドではなく古代エジプトで、太陽神ラーは信仰された。,共通テスト2019年度本試験
6,班固が、編年体で、『漢書』を著した。,0,中国の古典文明,中国,秦・漢帝国時代,後漢の班固は、年代順に出来事を記述する編年体ではなく、帝・王の年代記とそれ以外の人物の伝記として記述する紀伝体で『漢書』を著した。,共通テスト2018年度本試験
7,フランスは、ドイツの賠償金支払い不履行を理由に、ルール占領を強行した,1,ヴェルサイユ体制下の欧米諸国,世界大戦,,第一次世界大戦後、フランスはベルギーとともに、ドイツの賠償金支払い遅延を理由にルール占領を行った。,共通テスト2018年度本試験
8,アメリカ大陸に進出したスペイン人は植民地にエンコミエンダ制を導入した,1,ヨーロッパ世界の拡大,南北アメリカ,,スペインは16世紀のアメリカ大陸で先住民（インディオ）の保護とキリスト教化を条件に植民者に統治を委ねるエンコミエンダ制を行った。しかし、植民者はそれを無視して、先住民を鉱山などで酷使し、先住民人口の激減の原因となった。,共通テスト2018年度本試験
9,チョーラ朝が海上貿易で栄えた。,1,インドの古典文明,インド,,チョーラ朝は前3世紀から13世紀までの南インドを支配した王朝で、東南アジアなどとの海上交易で栄えた。,共通テスト2017年度本試験
10,ルイ＝フィリップの亡命によりフランスで共和制が復活した。,1,ウィーン体制の成立,フランス,,フランスのルイ＝フィリップは二月革命で亡命して、七月王政は倒れ、フランス革命中の第一共和政に続いて、第二共和政が成立した。,共通テスト2017年度本試験
11,モスクワ大公国では、プロノイア制が用いられた。,0,東ヨーロッパ世界の成立,ロシア,,モスクワ大公国ではなく、ビザンツ帝国で軍役奉仕の代償として公有地の管理権と徴税権を与えるプロノイア制が行われた。,共通テスト2017年度本試験
12,タレスは、万物の根源を水だと考えた。,1,ギリシア世界,古代ギリシア,,タレスは前7世紀から前6世紀頃のギリシアの自然哲学者で、万物の根源を水と考えた。,共通テスト2017年度本試験
13,ガンダーラ美術は、古代ギリシアの美術（ヘレニズム美術）に影響を与えた。,0,インドの古典文明,インド,,ガンダーラ美術が古代ギリシアの美術（ヘレニズム美術）に影響を与えたのではなく、古代ギリシアの美術がガンダーラ美術に影響を与えて、ギリシア風の特徴を持つ仏像がつくられた。,共通テスト2020年度本試験
14,ウィリアム1世が、フランス王位継承権を主張して百年戦争を始めた。,0,西ヨーロッパ中世世界の変容,イギリス,,イギリス王ウィリアム1世ではなく、エドワード３世が、１４世紀前半にフランスでカペー朝が断絶してヴァロワ朝が始まると、フランス王位継承権を主張して百年戦争を開始した。ウィリアム1世は、１１世紀後半にノルマン＝コンクェストでイギリスを征服してノルマンディー公から王に即位し、ノルマン朝を開いた。,共通テスト2020年度本試験
15,ストラボンは『地理誌』を著した。,1,ローマ世界,古代ローマ,,ローマ帝国時代のストラボンは『地理誌』を著した。,共通テスト2020年度本試験
16,秦の始皇帝陵の近くで、兵馬俑が出土した。,1,中国の古典文明,中国,,兵馬俑は、兵士や馬をかたどった陶器製の像で前３世紀後半に作られた秦の始皇帝の陵墓の周辺から出土した。,共通テスト2019年度本試験
17,インカ帝国で、皇帝は太陽の化身（太陽の子）とされた。,1,南北アメリカ文明,南北アメリカ,,インカ帝国は、15～16世紀に南アメリカのアンデス高原で栄えた帝国で、インカとは太陽の化身（太陽の子）とされた皇帝のこと。インカ帝国はスペインのピサロによって滅ぼされた。,共通テスト2019年度本試験
18,ラシード＝アッディーンが、イル・ハン国で、『集史』を著した。,1,イスラーム世界の発展,イスラーム世界,,イル・ハン国の13～14世紀の宰相ラシード・アッディーンはモンゴル中心の世界史を『集史』に著した。,共通テスト2018年度本試験
19,アメリカ合衆国は、北緯38度線を堺として、朝鮮半島の北半分を占領下に置いた。,0,米ソ冷戦の激化と西欧・日本の経済復興,朝鮮,,アメリカ合衆国は、第二次世界大戦後、朝鮮半島の北緯38度戦を境として北半分ではなく、南半分を占領した。北半分を占領したのはソ連。その後、南半分には大韓民国が、北半分には朝鮮民主主義人民共和国が成立した。,共通テスト2018年度本試験
20,ヨーロッパ人が持ち込んだ天然痘は、アメリカ大陸の先住民人口が激減する一因となった。,1,ヨーロッパ世界の拡大,南北アメリカ,,ヨーロッパ人が持ち込んだ天然痘はアメリカ大陸の多くの免疫を持たない先住民の命を奪い、これもまた先住民人口減の原因となった。そこで、労働力不足を解消するため、アフリカ大陸から黒人奴隷を導入することになった。,共通テスト2018年度本試験
21,イギリスがゴアをアジア貿易の拠点とした。,0,ヨーロッパ諸国の海外進出,イギリス,,イギリスではなく、ポルトガルがインド西岸のゴアをアジア貿易の拠点とした。イギリスは、ベンガル地方のカルカッタ、インド西岸のボンベイ、インド東岸のマドラスを拠点とした。,共通テスト2017年度本試験
22,列強がアフリカの植民地化を進めるなか、リベリア共和国は独立を維持した。,1,世界分割と列強対立,アフリカ,,19世紀後半にヨーロッパ列強はアフリカ分割を進めたが、エチオピアとリベリア共和国は第一次世界大戦期まで独立を維持した。その後エチオピアは一時イタリアのムッソリーニ政権に併合されたが、リベリアは独立を維持した。,共通テスト2017年度本試験
23,漢の高祖は郡国制を採用した。,1,中国の古典文明,中国,秦・漢帝国時代,前漢の高祖（劉邦）は、秦の郡県制の失敗を考慮して、郡県制と封建制の折衷策である郡国制を採用した。前2世紀半ばに諸侯の反乱であった呉楚七国の乱が鎮圧されると、実質的には郡県制と同様になった。,共通テスト2017年度本試験
24,宋応星が『本草綱目』を著した。,0,東アジア世界の動向,中国,明,明代の宋応星は『本草綱目』ではなく、図解入りで中国の産業技術を解説した『天工開物』を著した。薬物を解説した『本草綱目』は同じく明代の李時珍。,共通テスト2017年度本試験
25,始皇帝は、民間の書物を医薬・占い・農業関係のものも含めて焼き捨てるように命じた。,0,中国の古典文明,中国,秦・漢帝国時代,前3世紀に中国を統一した秦の始皇帝は、医薬・占い・農業関係のものを含めてではなく、それらを除いた書物を焼き、儒学者を生き埋めにする焚書・坑儒を行った。,共通テスト2021年度本試験
26,エフェソス公会議で教皇の至上権が再確認され、禁書目録を定めて異端弾圧が強化された。,0,ヨーロッパ世界の形成と発展,ヨーロッパ世界の形成,,エフェソス公会議ではなくトリエント公会議で教皇の至上権が再確認され、異端審問が強化された。エフェソス公会議は5世紀に開かれ、ネストリウス派を異端とした。,共通テスト2021年度本試験
27,ナチス体制下では、ゲシュタポにより国民生活が厳しく統制され、言論の自由が奪われた。,1,世界恐慌とファシズム諸国の侵略,世界大戦,,1930年代に全権委任法を成立させて一党独裁を確立したナチス支配下のドイツでは、ゲシュタポ（秘密警察）が設立され、ナチスに反対する勢力の摘発などが行われた。,共通テスト2021年度本試験
28,冷戦下のイギリスで、共産主義者を排除する運動が、マッカーシーによって盛んになった。,0,米ソ冷戦の激化と西欧・日本の経済復興,冷戦,,冷戦下の1950年代にイギリスではなくアメリカ合衆国で、上院議員マッカーシーによる共産主義者を排除するマッカーシズムと呼ばれる運動が行われた。,共通テスト2021年度本試験
29,ヴィクトリア女王はインド皇帝に即位した。,1,南アジア・東南アジアの植民地化,インド,,ヴィクトリア女王は19世紀後半に成立したインド帝国の皇帝に即位した。,共通テスト2021年度本試験
30,ヴィクトリア女王はハノーヴァー朝を開いた,0,重商主義と啓蒙専制主義,イギリス,,ハノーヴァー朝を開いたのはジョージ1世。アン女王でステュアート朝が断絶し、ドイツからハノーヴァー選帝侯が招かれてジョージ1世として即位した。,共通テスト2021年度本試験
31,ヴィクトリア女王は統一法を制定した。,0,重商主義と啓蒙専制主義,イギリス,,統一法は16世紀後半にテューダー朝のエリザベス1世がだし、イギリス国教会を確立した。,共通テスト2021年度本試験
32,ヴィクトリア女王はグレートブリテン王国を成立させた。,0,重商主義と啓蒙専制主義,イギリス,,グレートブリテン王国（大ブリテン王国）は、18世紀前半のアン女王の時代にスコットランドが併合されて成立した。,共通テスト2021年度本試験
33,中国の思想家・孟子は、家族道徳を社会秩序の規範とすることを重視した,1,中国の古典文明,中国,春秋戦国時代,孟子は戦国時代の儒家の思想家で、家族道徳を重視した。孔子を祖とする儒家では家族道徳を重視した。,共通テスト2021年度本試験
34,秦の始皇帝に仕えた李斯は、血縁を超えて無差別に人を愛すことを重視した。,0,中国の古典文明,中国,春秋戦国時代,秦の始皇帝に仕えた李斯は法家の人物で、法家は「法律による秩序」を重視し、法治主義を唱えた。血縁を超えた無差別の愛は墨家の墨子が唱えた。,共通テスト2021年度本試験
35,インノケンティウス3世は、モンテ=カシノに修道院を作った,0,西ヨーロッパの中世文化,,,インノケンティウス3世ではなく、ベネディクトゥスが6世紀に中部イタリアのモンテ=カシノに修道院を作った。インノケンティウス3世は12世紀末～13世紀はじめの教皇権絶頂期のときの教皇,共通テスト2021年度本試験
36,シトー修道院は森林の開墾に取り組んだ。,1,西ヨーロッパの中世文化,,,シトー修道院は11世紀フランスで創設された修道会で、12世紀移行のヨーロッパにおける大開墾時代に開墾運動の中心となった。,共通テスト2021年度本試験
37,クローヴィスのもとで、クリュニー修道院が中心となって改革運動が起こった。,0,西ヨーロッパの中世文化,,,11世紀にクリュニー修道院が中心となって改革運動が起こり、教皇グレゴリウス7世の教会改革に影響を与えた。クローヴィスは5世紀後半にメロヴィング朝を建てた人物。,共通テスト2021年度本試験
38,ヘンリ3世は、修道院を解散し、その財産を没収した。,0,重商主義と啓蒙専制主義,イギリス,,ヘンリ3世ではなく、テューダー朝のヘンリ8世が16世紀前半に国王至上法（首長法）を制定して、イギリス国教会を設立した。ヘンリ3世はプランタジネット朝のイギリス王で、13世紀にジョン王の認めた大憲章（マグナ=カルタ）を無視し、シモン・ド・モンフォールの反乱を招いた。,共通テスト2021年度本試験
39,隋や唐では、主に仏教の理解を問う科挙が整備された,0,東アジア文化圏の形成,中国,隋・唐,隋で始められた学科試験による官吏登用法の科挙は仏教ではなく主に儒学について問う試験であった。,共通テスト2021年度本試験
40,フランスでは、20世紀はじめに政教分離法が成立した,1,帝国主義と列強の展開,,,フランスでは20世紀はじめに政教分離法が制定されて、カトリック教会の政治介入が排除された。,共通テスト2021年度本試験
41,中世ヨーロッパの学問では神学が重視された,1,西ヨーロッパの中世文化,,,中世ヨーロッパではキリスト教の教義を研究する神学が学問の頂点に位置し、とくにギリシア哲学を利用して教義の体系化をはかるスコラ学が発達した。,共通テスト2021年度本試験
42,イスラーム世界では、マドラサが重要な教育機関となった。,1,イスラーム文明の発展,イスラーム世界,,イスラーム世界では、10世紀頃からウラマーと呼ばれるイスラーム法学者を養成するために各地にマドラサ（学院）が建設された。,共通テスト2021年度本試験